index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,66423.74,80206.586
0,polygon,1,66300.45,80576.45
0,polygon,2,66023.055,80946.32
0,polygon,3,65838.125,81316.19
0,polygon,4,65499.08,81655.23
0,polygon,5,65067.57,82148.38
0,polygon,6,64820.992,82518.25
0,polygon,7,64605.24,82795.65
0,polygon,8,64420.305,83257.984
0,polygon,9,64173.727,83504.555
0,polygon,10,63803.86,83720.31
0,polygon,11,63433.996,83812.78
0,polygon,12,63094.953,83874.42
0,polygon,13,62663.44,83843.6
0,polygon,14,62201.11,83843.6
0,polygon,15,61831.242,83812.78
0,polygon,16,60968.223,83689.49
0,polygon,17,60228.492,83566.2
0,polygon,18,59612.05,83442.914
0,polygon,19,59303.83,83412.09
0,polygon,20,58933.96,83381.27
0,polygon,21,58564.098,83288.805
0,polygon,22,58009.297,82980.58
0,polygon,23,57269.566,82672.36
0,polygon,24,56930.523,82394.96
0,polygon,25,56653.125,82179.2
0,polygon,26,56283.258,81994.27
0,polygon,27,56005.86,81840.164
0,polygon,28,55666.816,81747.695
0,polygon,29,55389.414,81562.766
0,polygon,30,55081.195,81285.37
0,polygon,31,54680.508,80977.14
0,polygon,32,54403.105,80792.21
0,polygon,33,54064.062,80699.74
0,polygon,34,54094.887,80391.52
0,polygon,35,53879.13,80144.945
0,polygon,36,53570.91,80175.766
0,polygon,37,53231.863,80237.414
0,polygon,38,52954.465,80391.52
0,polygon,39,52522.957,80422.34
0,polygon,40,52060.625,80391.52
0,polygon,41,51629.113,80391.52
0,polygon,42,51783.223,79960.01
0,polygon,43,52214.734,79528.5
0,polygon,44,52553.777,79220.28
0,polygon,45,52831.176,78973.7
0,polygon,46,53139.4,78603.836
0,polygon,47,53324.332,78079.86
0,polygon,48,53848.31,77432.59
0,polygon,49,54002.418,77155.195
0,polygon,50,54156.53,76723.69
0,polygon,51,54248.996,76415.46
0,polygon,52,54464.75,76076.42
0,polygon,53,54711.33,75768.2
0,polygon,54,55050.37,75429.16
0,polygon,55,55721.727,75029.72
0,polygon,56,54590.695,74835.32
0,polygon,57,54997.16,74322.83
0,polygon,58,56534.652,74137.266
0,polygon,59,57232.71,73987.05
0,polygon,60,57877.75,73934.03
0,polygon,61,58089.816,73881.016
0,polygon,62,58594.918,74227.09
0,polygon,63,59057.25,74227.09
0,polygon,64,59427.117,74381.2
0,polygon,65,59735.336,74504.49
0,polygon,66,60475.07,74658.6
0,polygon,67,60937.402,74812.71
0,polygon,68,61584.668,74905.18
0,polygon,69,62016.176,75028.47
0,polygon,70,62509.332,75244.23
0,polygon,71,63033.31,75490.8
0,polygon,72,63433.996,75706.555
0,polygon,73,63773.04,75983.95
0,polygon,74,64112.082,76138.06
0,polygon,75,64481.95,76415.46
0,polygon,76,64975.1,76754.51
0,polygon,77,65252.5,76970.266
0,polygon,78,65868.945,77586.7
0,polygon,79,66023.055,77864.11
0,polygon,80,66115.52,78326.44
1,polygon,0,59937.617,21085.63
1,polygon,1,59368.125,23221.234
1,polygon,2,59296.938,24146.662
1,polygon,3,59296.938,25000.904
1,polygon,4,59012.19,25783.959
1,polygon,5,58727.445,26495.826
1,polygon,6,58300.324,27278.88
1,polygon,7,57802.016,28133.121
1,polygon,8,57303.707,28702.615
1,polygon,9,56520.652,29058.55
1,polygon,10,55452.85,29556.857
1,polygon,11,53744.37,29983.979
1,polygon,12,53032.5,30055.164
1,polygon,13,51324.02,30197.54
1,polygon,14,50540.965,30339.912
1,polygon,15,49544.348,30339.912
1,polygon,16,48761.297,30268.725
1,polygon,17,47907.055,29983.979
1,polygon,18,47195.188,29770.418
1,polygon,19,46412.133,29343.297
1,polygon,20,45629.08,28987.363
1,polygon,21,45130.77,28204.309
1,polygon,22,44774.836,27492.441
1,polygon,23,44561.273,26709.387
1,polygon,24,44632.46,25855.145
1,polygon,25,44988.395,25143.277
1,polygon,26,45059.582,24289.035
1,polygon,27,45059.582,22366.992
1,polygon,28,45273.145,21299.191
1,polygon,29,45486.703,20302.576
1,polygon,30,45771.45,19305.96
1,polygon,31,45913.824,18522.906
1,polygon,32,45985.01,17739.852
1,polygon,33,46056.2,16743.238
1,polygon,34,46127.383,15604.249
1,polygon,35,46127.383,14750.008
1,polygon,36,45629.08,13682.206
1,polygon,37,45273.145,12970.339
1,polygon,38,45130.77,12187.284
1,polygon,39,45201.957,11190.669
1,polygon,40,45344.33,10407.614
1,polygon,41,45344.33,9624.56
1,polygon,42,45700.26,8770.318
1,polygon,43,46056.2,7844.8906
1,polygon,44,46483.316,6777.089
1,polygon,45,47124.0,6136.408
1,polygon,46,48191.8,5780.474
1,polygon,47,50185.03,4641.486
1,polygon,48,50896.9,4499.1123
1,polygon,49,52747.754,4499.1123
1,polygon,50,53459.62,4427.9253
1,polygon,51,54171.49,4000.8047
1,polygon,52,55025.73,3929.618
1,polygon,53,55737.598,4143.178
1,polygon,54,56449.47,4499.1123
1,polygon,55,57303.707,4997.4194
1,polygon,56,57873.203,5495.727
1,polygon,57,58656.258,6207.5947
1,polygon,58,59154.562,7061.836
1,polygon,59,59368.125,8058.451
1,polygon,60,59510.5,8841.506
1,polygon,61,59866.434,9624.56
1,polygon,62,60008.805,10692.361
1,polygon,63,60151.18,11688.977
1,polygon,64,60364.74,12756.778
1,polygon,65,60435.926,13468.6455
1,polygon,66,60435.926,15461.876
1,polygon,67,60364.74,16173.743
1,polygon,68,60364.74,17027.984
1,polygon,69,60435.926,17882.227
