index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,21100.957,18014.781
0,polygon,1,20718.287,18053.049
0,polygon,2,20335.615,18129.584
0,polygon,3,19493.738,18129.584
0,polygon,4,19133.158,18034.852
0,polygon,5,18823.627,17804.914
0,polygon,6,18381.438,17628.04
0,polygon,7,17672.998,17169.49
0,polygon,8,17479.303,17004.49
0,polygon,9,16668.656,16789.275
0,polygon,10,16432.365,17058.104
0,polygon,11,16049.694,17249.44
0,polygon,12,15743.558,17746.912
0,polygon,13,15322.618,18206.117
0,polygon,14,15016.481,18627.057
0,polygon,15,14939.947,19047.994
0,polygon,16,14786.879,19468.934
0,polygon,17,14519.009,20004.674
0,polygon,18,14251.139,20387.346
0,polygon,19,13906.734,20770.016
0,polygon,20,13447.528,21114.42
0,polygon,21,13141.392,21420.559
0,polygon,22,12835.254,21764.963
0,polygon,23,12682.186,22147.633
0,polygon,24,12376.049,22606.84
0,polygon,25,12031.645,23104.312
0,polygon,26,11725.507,23563.518
0,polygon,27,11457.637,23984.457
0,polygon,28,11266.301,24367.129
0,polygon,29,11151.5,24788.066
0,polygon,30,10921.896,25170.738
0,polygon,31,10424.424,26165.684
0,polygon,32,10156.554,26624.889
0,polygon,33,9926.951,27007.56
0,polygon,34,9773.883,27390.232
0,polygon,35,9467.745,27925.973
0,polygon,36,9314.677,28308.645
0,polygon,37,9161.608,28844.385
0,polygon,38,9008.54,29227.055
0,polygon,39,8893.738,29724.53
0,polygon,40,8893.738,30183.734
0,polygon,41,8817.204,30604.672
0,polygon,42,8664.136,31025.611
0,polygon,43,8511.066,31408.283
0,polygon,44,8357.998,31829.22
0,polygon,45,8128.395,32250.16
0,polygon,46,8013.5938,32632.832
0,polygon,47,7937.0596,33015.504
0,polygon,48,7822.2583,33436.44
0,polygon,49,7745.7236,33819.113
0,polygon,50,7630.9224,34278.32
0,polygon,51,7783.9907,34660.99
0,polygon,52,8090.128,35005.395
0,polygon,53,8396.266,35311.53
0,polygon,54,8740.67,35617.668
0,polygon,55,9161.608,35809.004
0,polygon,56,9467.745,35464.6
0,polygon,57,9850.417,35158.465
0,polygon,58,10233.088,34890.594
0,polygon,59,10615.76,34584.457
0,polygon,60,11036.698,34163.516
0,polygon,61,11457.637,33780.848
0,polygon,62,11763.774,33436.44
0,polygon,63,12069.911,33168.57
0,polygon,64,12414.315,32747.633
0,polygon,65,12835.254,32288.428
0,polygon,66,13141.392,31867.488
0,polygon,67,13332.728,31523.084
0,polygon,68,13562.33,31178.68
0,polygon,69,13753.666,30834.275
0,polygon,70,13906.734,30451.604
0,polygon,71,14059.803,29992.398
0,polygon,72,14251.139,29533.193
0,polygon,73,14442.475,29112.254
0,polygon,74,14825.1455,28653.049
0,polygon,75,15131.283,28346.912
0,polygon,76,15475.6875,28079.041
0,polygon,77,15781.824,27619.836
0,polygon,78,16049.694,27275.432
0,polygon,79,16661.969,26433.555
0,polygon,80,16891.572,26089.15
0,polygon,81,17121.174,25629.943
0,polygon,82,17580.38,24788.066
0,polygon,83,17848.25,24328.861
0,polygon,84,18039.586,23831.389
0,polygon,85,18230.922,23410.45
0,polygon,86,18498.791,22951.244
0,polygon,87,18690.127,22568.572
0,polygon,88,18843.195,22185.9
0,polygon,89,19034.531,21803.229
0,polygon,90,19264.135,21458.824
0,polygon,91,19417.203,21076.154
0,polygon,92,19703.275,20697.518
0,polygon,93,19921.324,20370.445
0,polygon,94,20095.762,19901.643
0,polygon,95,20292.004,19661.791
0,polygon,96,20510.053,19302.012
0,polygon,97,20641.752,18856.658
0,polygon,98,20833.088,18473.988
1,polygon,0,83268.766,86923.805
1,polygon,1,83613.164,87344.75
1,polygon,2,83881.04,87689.15
1,polygon,3,84263.71,88148.36
1,polygon,4,84493.31,88531.03
1,polygon,5,84799.445,88837.164
1,polygon,6,85105.586,89105.03
1,polygon,7,85641.33,89181.57
1,polygon,8,86062.266,89258.1
1,polygon,9,86559.734,89372.91
1,polygon,10,86942.41,89487.7
1,polygon,11,87401.62,89411.17
1,polygon,12,87860.82,89258.1
1,polygon,13,88281.76,89028.5
1,polygon,14,88343.82,88967.51
1,polygon,15,88736.305,88945.7
1,polygon,16,88965.25,88509.61
1,polygon,17,89139.695,88029.9
1,polygon,18,89281.42,87070.49
1,polygon,19,89621.11,85469.66
1,polygon,20,89697.64,84972.18
1,polygon,21,89735.914,84474.71
1,polygon,22,89850.71,84015.51
1,polygon,23,89888.98,83594.56
1,polygon,24,89888.98,83173.625
1,polygon,25,89774.18,82714.42
1,polygon,26,89697.64,82102.15
1,polygon,27,89697.64,81528.14
1,polygon,28,89735.914,81030.664
1,polygon,29,89774.18,80265.33
1,polygon,30,89850.71,79844.38
1,polygon,31,89888.98,79193.84
1,polygon,32,90003.78,78658.1
1,polygon,33,90042.05,78122.37
1,polygon,34,90042.05,77510.086
1,polygon,35,90003.78,76936.086
1,polygon,36,89850.71,76515.14
1,polygon,37,89812.445,76094.2
1,polygon,38,89735.914,75635.0
1,polygon,39,89735.914,74793.125
1,polygon,40,89697.64,74410.45
1,polygon,41,89697.64,72879.766
1,polygon,42,89544.58,72420.56
1,polygon,43,89544.58,69971.46
1,polygon,44,89506.305,69550.52
1,polygon,45,89391.51,69129.586
1,polygon,46,89238.44,68670.38
1,polygon,47,89047.1,68287.71
1,polygon,48,88587.9,68134.64
1,polygon,49,87860.82,68134.64
1,polygon,50,87478.15,68211.17
1,polygon,51,87401.62,68593.84
1,polygon,52,87286.81,68976.516
1,polygon,53,87057.21,69818.39
1,polygon,54,86865.875,70277.6
1,polygon,55,86712.805,71655.22
1,polygon,56,86636.27,72037.89
1,polygon,57,86483.2,72420.56
1,polygon,58,86177.06,72994.57
1,polygon,59,86024.0,73492.04
1,polygon,60,85870.93,73912.98
1,polygon,61,85717.86,74410.45
1,polygon,62,85526.52,74869.66
1,polygon,63,85373.45,75252.33
1,polygon,64,85335.19,75635.0
1,polygon,65,85258.66,76132.47
1,polygon,66,85182.12,76553.414
1,polygon,67,85105.586,76936.086
1,polygon,68,85067.32,77433.555
1,polygon,69,84990.78,77816.23
1,polygon,70,84952.516,78351.97
1,polygon,71,84875.984,78849.44
1,polygon,72,84799.445,79270.375
1,polygon,73,84761.18,79920.92
1,polygon,74,84722.914,80380.125
1,polygon,75,84684.65,80877.6
1,polygon,76,84684.65,81375.07
1,polygon,77,84608.11,81796.01
1,polygon,78,84569.84,82255.22
1,polygon,79,84493.31,82714.42
1,polygon,80,84455.05,83097.09
1,polygon,81,84340.24,83556.3
1,polygon,82,84187.17,83977.234
1,polygon,83,83957.57,84742.58
1,polygon,84,83881.04,85125.25
1,polygon,85,83766.234,85546.19
1,polygon,86,83613.164,85967.13
1,polygon,87,83536.63,86349.8
1,polygon,88,83421.83,86809.01
