index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,34309.305,10273.159
0,polygon,1,34803.266,10387.149
0,polygon,2,35107.24,10919.1045
0,polygon,3,35221.23,11451.06
0,polygon,4,35335.22,11907.021
0,polygon,5,35373.22,12400.9795
0,polygon,6,35335.22,12856.941
0,polygon,7,35335.22,13312.902
0,polygon,8,35069.242,13616.877
0,polygon,9,34765.27,13920.852
0,polygon,10,34765.27,14908.768
0,polygon,11,34917.254,15478.72
0,polygon,12,35145.234,15858.6875
0,polygon,13,35449.21,16352.646
0,polygon,14,35525.203,16884.602
0,polygon,15,35639.195,17378.56
0,polygon,16,35829.18,17720.531
0,polygon,17,36247.145,18062.502
0,polygon,18,36475.125,18404.473
0,polygon,19,36627.11,18784.441
0,polygon,20,36703.105,19316.396
0,polygon,21,36551.117,19734.361
0,polygon,22,36551.117,21330.227
0,polygon,23,36665.11,21900.178
0,polygon,24,36703.105,22280.146
0,polygon,25,37007.08,22698.111
0,polygon,26,37159.066,23116.076
0,polygon,27,37425.043,23496.045
0,polygon,28,37919.004,23952.006
0,polygon,29,38374.965,24179.986
0,polygon,30,38754.934,24293.977
0,polygon,31,39096.902,24635.947
0,polygon,32,39286.887,25091.91
0,polygon,33,39476.87,25471.877
0,polygon,34,39590.86,25889.842
0,polygon,35,39856.84,26193.816
0,polygon,36,40198.81,26535.787
0,polygon,37,40464.79,26953.752
0,polygon,38,40882.754,27105.74
0,polygon,39,41642.688,27029.746
0,polygon,40,41984.66,27371.717
0,polygon,41,42174.645,27713.688
0,polygon,42,41756.68,27713.688
0,polygon,43,41262.72,27789.682
0,polygon,44,40844.754,27865.676
0,polygon,45,39932.832,28169.65
0,polygon,46,39286.887,28207.646
0,polygon,47,38830.926,28017.662
0,polygon,48,38412.96,27789.682
0,polygon,49,37919.004,27713.688
0,polygon,50,37349.05,27637.695
0,polygon,51,36893.09,27485.707
0,polygon,52,36551.117,27295.725
0,polygon,53,36095.156,27143.736
0,polygon,54,35563.2,27067.742
0,polygon,55,35069.242,27067.742
0,polygon,56,34461.293,27105.74
0,polygon,57,34043.33,26953.752
0,polygon,58,33663.36,26839.762
0,polygon,59,33131.406,26801.766
0,polygon,60,32751.438,26687.775
0,polygon,61,32333.473,26573.785
0,polygon,62,31459.547,26573.785
0,polygon,63,31079.578,26497.791
0,polygon,64,30471.63,26497.791
0,polygon,65,30053.666,26421.797
0,polygon,66,29331.727,26307.807
0,polygon,67,28913.762,26231.812
0,polygon,68,28571.791,26041.83
0,polygon,69,28191.822,25889.842
0,polygon,70,27735.861,25775.852
0,polygon,71,27355.893,25661.861
0,polygon,72,26937.928,25585.867
0,polygon,73,26481.967,25509.875
0,polygon,74,26026.004,25395.885
0,polygon,75,25608.041,25243.896
0,polygon,76,25190.076,25053.912
0,polygon,77,24620.123,24977.92
0,polygon,78,23632.207,24977.92
0,polygon,79,23214.242,24825.932
0,polygon,80,22948.264,24521.957
0,polygon,81,22644.29,24028.0
0,polygon,82,22454.307,23610.035
0,polygon,83,22226.326,23154.072
0,polygon,84,21960.348,22850.098
0,polygon,85,21770.363,22508.127
0,polygon,86,21504.387,21976.172
0,polygon,87,21238.408,21558.207
0,polygon,88,21390.396,20988.256
0,polygon,89,21580.379,20494.297
0,polygon,90,21542.383,19924.346
0,polygon,91,21694.37,19430.387
0,polygon,92,21656.373,18898.432
0,polygon,93,21428.393,18290.482
0,polygon,94,21352.398,17530.547
0,polygon,95,21352.398,16352.646
0,polygon,96,21504.387,15972.679
0,polygon,97,21618.377,15554.714
0,polygon,98,21732.367,15022.759
0,polygon,99,21732.367,14490.803
0,polygon,100,21694.37,13844.857
0,polygon,101,21656.373,13122.919
0,polygon,102,21694.37,12704.954
0,polygon,103,21960.348,12097.005
0,polygon,104,22264.322,11299.072
0,polygon,105,22416.309,10805.114
0,polygon,106,22416.309,10387.149
0,polygon,107,22492.303,9969.185
0,polygon,108,22910.268,9513.223
0,polygon,109,23480.219,9247.245
0,polygon,110,24012.174,9057.262
0,polygon,111,24392.143,9019.265
0,polygon,112,25152.078,8829.28
0,polygon,113,25570.043,8677.293
0,polygon,114,26405.973,8563.303
0,polygon,115,26823.938,8563.303
0,polygon,116,27317.896,8677.293
0,polygon,117,27811.854,8677.293
0,polygon,118,28457.8,8753.287
0,polygon,119,29711.693,8943.2705
0,polygon,120,30319.643,9133.255
0,polygon,121,30699.611,9361.235
0,polygon,122,31231.566,9551.22
0,polygon,123,31649.531,9627.213
0,polygon,124,32257.48,9627.213
0,polygon,125,32903.426,9665.21
0,polygon,126,33321.39,9931.1875
0,polygon,127,33777.35,10083.175
1,polygon,0,23329.29,9710.38
1,polygon,1,23557.271,9102.431
1,polygon,2,23671.262,8570.476
1,polygon,3,23671.262,7962.527
1,polygon,4,23481.277,7126.597
1,polygon,5,23443.28,6594.642
1,polygon,6,23481.277,6024.6904
1,polygon,7,23481.277,4770.796
1,polygon,8,23405.283,4390.828
1,polygon,9,23709.258,3934.8665
1,polygon,10,24203.217,3782.8792
1,polygon,11,24507.191,4162.847
1,polygon,12,25115.139,5454.7383
1,polygon,13,25381.117,6290.668
1,polygon,14,25571.102,6898.6167
1,polygon,15,25609.098,7506.5654
1,polygon,16,25533.104,8114.514
1,polygon,17,25305.123,9064.434
1,polygon,18,25153.137,9596.389
1,polygon,19,24735.172,9786.373
2,polygon,0,25306.25,-1566.4979
2,polygon,1,24665.568,-997.0037
2,polygon,2,23953.701,-498.6963
2,polygon,3,23313.02,-71.575645
2,polygon,4,22672.338,640.2921
2,polygon,5,22672.338,1779.2805
2,polygon,6,22387.592,2704.7087
2,polygon,7,21960.47,3487.7632
2,polygon,8,21035.043,3701.3235
2,polygon,9,20251.988,3843.697
