index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,55505.92,74976.41
0,polygon,1,54464.016,74855.375
0,polygon,2,54067.016,74824.625
0,polygon,3,53752.48,75039.836
0,polygon,4,53553.824,75370.93
0,polygon,5,53417.77,75580.21
0,polygon,6,53141.027,75706.0
0,polygon,7,52839.125,75907.27
0,polygon,8,52587.54,76007.91
0,polygon,9,52361.113,76158.85
0,polygon,10,52059.21,76309.805
0,polygon,11,51782.47,76485.914
0,polygon,12,51505.723,76611.71
0,polygon,13,51279.297,76787.82
0,polygon,14,50927.08,76963.93
0,polygon,15,50700.652,77089.72
0,polygon,16,50449.066,77190.35
0,polygon,17,50197.484,77265.83
0,polygon,18,49945.9,77416.78
0,polygon,19,49895.582,77668.37
0,polygon,20,49920.74,77995.42
0,polygon,21,49870.42,78322.484
0,polygon,22,49794.95,78649.55
0,polygon,23,49820.105,78926.29
0,polygon,24,50122.008,79177.875
0,polygon,25,50373.594,79479.77
0,polygon,26,50700.652,79731.36
0,polygon,27,51203.824,80033.26
0,polygon,28,51454.363,80055.05
0,polygon,29,51704.902,80055.05
0,polygon,30,51813.832,79989.69
0,polygon,31,51933.656,79902.55
0,polygon,32,52042.586,79771.83
0,polygon,33,52118.836,79684.69
0,polygon,34,52293.125,79510.4
0,polygon,35,52402.055,79390.58
0,polygon,36,52478.305,79292.54
0,polygon,37,52576.344,79194.5
0,polygon,38,52663.49,79085.57
0,polygon,39,52750.633,78954.85
0,polygon,40,52815.99,78845.92
0,polygon,41,52946.707,78769.67
0,polygon,42,53033.848,78693.42
0,polygon,43,53110.1,78573.6
0,polygon,44,53175.457,78475.56
0,polygon,45,53251.71,78344.84
0,polygon,46,53349.746,78203.234
0,polygon,47,53458.676,77941.805
0,polygon,48,53534.93,77778.41
0,polygon,49,53643.86,77647.695
0,polygon,50,53720.11,77516.98
0,polygon,51,53818.145,77462.516
0,polygon,52,53894.4,77375.37
0,polygon,53,53948.863,77266.44
0,polygon,54,54014.22,77124.83
0,polygon,55,54057.793,77005.01
0,polygon,56,54101.363,76874.29
0,polygon,57,54155.83,76634.64
0,polygon,58,54188.508,76525.71
0,polygon,59,54210.293,76416.78
0,polygon,60,54319.227,76264.28
0,polygon,61,54406.367,76144.46
0,polygon,62,54504.406,76079.1
0,polygon,63,54602.44,75991.95
0,polygon,64,54646.016,75872.13
0,polygon,65,54733.16,75752.31
0,polygon,66,54820.305,75654.27
0,polygon,67,54907.45,75512.664
0,polygon,68,54994.59,75425.516
0,polygon,69,55201.56,75349.266
0,polygon,70,55299.598,75294.805
0,polygon,71,55419.418,75218.555
0,polygon,72,55517.457,75153.195
0,polygon,73,55648.17,75022.48
1,polygon,0,53911.914,30225.98
1,polygon,1,53830.28,29981.084
1,polygon,2,53830.28,29450.477
1,polygon,3,54075.18,29042.316
1,polygon,4,54238.44,28838.236
1,polygon,5,54381.297,28674.973
1,polygon,6,54585.38,28348.445
1,polygon,7,54667.01,28144.365
1,polygon,8,54769.05,27960.693
1,polygon,9,54809.867,27593.35
1,polygon,10,54830.273,27389.27
1,polygon,11,54850.684,27144.373
1,polygon,12,54850.684,26572.95
1,polygon,13,54728.234,26266.83
1,polygon,14,54524.152,25940.303
1,polygon,15,54422.113,25756.63
1,polygon,16,54177.22,25470.918
1,polygon,17,53911.914,25083.166
1,polygon,18,53687.426,24797.455
1,polygon,19,53401.715,24491.334
1,polygon,20,53156.816,24226.031
1,polygon,21,52993.555,24001.543
1,polygon,22,52932.332,23797.463
1,polygon,23,53238.45,23430.12
1,polygon,24,53544.57,23144.406
1,polygon,25,53789.465,22919.918
1,polygon,26,54115.992,22572.982
1,polygon,27,54524.152,22042.375
1,polygon,28,54809.867,21715.848
1,polygon,29,55034.355,21409.727
1,polygon,30,55279.25,21328.096
1,polygon,31,55564.96,21470.951
1,polygon,32,55911.9,21838.295
1,polygon,33,56115.977,21981.15
1,polygon,34,56401.688,22205.639
1,polygon,35,56646.586,22328.088
1,polygon,36,56871.074,22491.352
1,polygon,37,57095.562,22552.574
1,polygon,38,57340.457,22552.574
1,polygon,39,57585.35,22532.168
1,polygon,40,57789.434,22430.127
1,polygon,41,58034.33,22246.455
1,polygon,42,58218.0,22062.783
1,polygon,43,58483.305,21838.295
1,polygon,44,58748.61,21756.664
1,polygon,45,59013.914,21695.44
1,polygon,46,59809.824,21695.44
1,polygon,47,60034.312,21675.031
1,polygon,48,60258.8,21695.44
1,polygon,49,60340.434,22062.783
1,polygon,50,60340.434,22368.902
1,polygon,51,60320.023,22572.982
1,polygon,52,60320.023,22899.512
1,polygon,53,60381.246,23144.406
1,polygon,54,60462.88,23389.303
1,polygon,55,60605.734,23675.014
1,polygon,56,60728.184,23981.135
1,polygon,57,60769.0,24266.846
1,polygon,58,60769.0,24532.15
1,polygon,59,60809.816,24797.455
1,polygon,60,60871.04,25062.758
1,polygon,61,60850.633,25430.102
1,polygon,62,60707.777,25736.223
1,polygon,63,60381.246,26144.38
1,polygon,64,60238.39,26613.766
1,polygon,65,60197.574,26960.701
1,polygon,66,60034.312,27123.965
1,polygon,67,59871.047,27266.822
1,polygon,68,59666.97,27430.086
1,polygon,69,59483.297,27552.533
1,polygon,70,59401.664,27756.613
1,polygon,71,59238.4,28001.51
1,polygon,72,59115.953,28246.404
