index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,57226.48,83773.27
0,polygon,1,57865.65,83540.85
0,polygon,2,58562.918,83540.85
0,polygon,3,59143.98,83366.53
0,polygon,4,59783.145,83540.85
0,polygon,5,60364.207,83773.27
0,polygon,6,60945.266,83831.375
0,polygon,7,61642.535,83831.375
0,polygon,8,62223.598,83889.484
0,polygon,9,62862.76,83889.484
0,polygon,10,63443.824,83831.375
0,polygon,11,63966.777,83540.85
0,polygon,12,64485.254,83540.84
0,polygon,13,65003.73,83352.31
0,polygon,14,65569.34,83493.71
0,polygon,15,65993.555,83729.38
0,polygon,16,66559.164,84012.19
0,polygon,17,66983.37,84483.53
0,polygon,18,67313.31,84860.61
0,polygon,19,67784.66,85237.68
0,polygon,20,68633.07,85709.02
0,polygon,21,68963.01,86086.1
0,polygon,22,69151.55,87028.78
0,polygon,23,69057.28,87500.125
0,polygon,24,69010.14,88065.734
0,polygon,25,69104.414,88631.35
0,polygon,26,69387.22,89196.96
0,polygon,27,69764.29,90139.65
0,polygon,28,70094.234,90516.72
0,polygon,29,70471.305,90893.8
0,polygon,30,70895.516,91365.13
0,polygon,31,71225.45,91742.21
0,polygon,32,71461.125,92213.555
0,polygon,33,71791.06,92590.625
0,polygon,34,72026.734,93109.1
0,polygon,35,72026.734,93674.72
0,polygon,36,71740.2,94460.8
0,polygon,37,71382.05,95177.12
0,polygon,38,70594.1,95392.016
0,polygon,39,69734.52,95750.17
0,polygon,40,69089.836,96251.59
0,polygon,41,68516.78,96824.65
0,polygon,42,67872.09,97254.44
0,polygon,43,67155.78,97684.23
0,polygon,44,66630.18,97903.97
0,polygon,45,66171.37,97980.44
0,polygon,46,65253.746,97980.44
0,polygon,47,64833.17,97942.2
0,polygon,48,64412.594,97789.266
1,polygon,0,65086.965,96650.79
1,polygon,1,64115.6,96915.7
1,polygon,2,63497.46,97622.15
1,polygon,3,63144.24,98505.21
1,polygon,4,62261.184,98240.29
1,polygon,5,61731.348,97445.54
1,polygon,6,61024.902,96739.09
1,polygon,7,60230.15,96032.65
1,polygon,8,59612.008,95326.2
1,polygon,9,58905.562,94531.445
1,polygon,10,58134.094,93942.555
1,polygon,11,57568.48,93424.08
1,polygon,12,57139.008,93415.18
1,polygon,13,56794.9,93224.01
1,polygon,14,56450.79,92956.37
1,polygon,15,56336.086,92535.79
1,polygon,16,56259.617,92115.21
1,polygon,17,56297.85,91656.4
1,polygon,18,56297.85,91082.89
1,polygon,19,56259.617,90700.55
1,polygon,20,56297.85,90203.5
1,polygon,21,56412.555,89744.69
1,polygon,22,56565.492,89362.34
1,polygon,23,56794.9,88865.3
1,polygon,24,56947.836,88482.96
1,polygon,25,56986.07,88024.15
1,polygon,26,56986.07,87603.57
1,polygon,27,57024.305,87182.99
1,polygon,28,57253.71,86762.414
1,polygon,29,57368.414,86380.07
1,polygon,30,57406.645,85921.266
1,polygon,31,57559.582,85424.22
1,polygon,32,57674.285,85003.64
1,polygon,33,57827.223,84621.3
1,polygon,34,58209.566,84353.66
1,polygon,35,58553.676,84697.766
1,polygon,36,59012.484,85309.516
1,polygon,37,59203.656,85653.625
1,polygon,38,59509.53,86112.44
1,polygon,39,59891.875,86800.65
