index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,16703.629,105389.914
0,polygon,1,16035.112,104721.4
0,polygon,2,15199.467,104387.14
0,polygon,3,14530.951,103802.195
0,polygon,4,13193.919,102465.16
0,polygon,5,11355.499,101629.516
0,polygon,6,10185.597,101295.26
0,polygon,7,8180.048,100961.0
0,polygon,8,7177.274,101378.82
0,polygon,9,6174.4995,102047.336
0,polygon,10,5088.161,102882.984
0,polygon,11,4168.951,103551.5
0,polygon,12,3583.9998,104220.016
0,polygon,13,2831.919,105222.79
0,polygon,14,2581.2256,106810.516
0,polygon,15,1912.7095,108314.67
0,polygon,16,1494.8868,109066.76
0,polygon,17,826.3707,109985.97
0,polygon,18,742.8062,111072.305
0,polygon,19,826.3707,112158.64
0,polygon,20,1327.7578,113077.85
0,polygon,21,1996.2739,114582.016
0,polygon,22,2414.0964,115668.35
0,polygon,23,2748.3545,116504.0
0,polygon,24,3166.177,117841.03
0,polygon,25,4168.951,119846.58
0,polygon,26,6007.3706,122520.64
0,polygon,27,7595.096,124860.45
0,polygon,28,8514.306,125863.23
0,polygon,29,9182.822,126531.74
0,polygon,30,10352.726,127367.38
0,polygon,31,11439.063,128203.03
0,polygon,32,12191.145,128704.414
0,polygon,33,13277.483,129205.805
0,polygon,34,14530.951,129707.19
0,polygon,35,16035.112,130208.58
0,polygon,36,17873.531,130709.97
0,polygon,37,18876.305,131127.78
0,polygon,38,19962.645,131629.17
0,polygon,39,21048.982,132297.69
0,polygon,40,21968.193,132882.64
0,polygon,41,22803.838,133467.6
0,polygon,42,23555.918,133968.98
0,polygon,43,24475.129,134386.8
0,polygon,44,25477.902,134637.5
0,polygon,45,26397.111,134888.19
0,polygon,46,27232.758,135055.31
0,polygon,47,28736.918,135138.89
0,polygon,48,30909.596,135222.45
0,polygon,49,32915.145,135556.7
0,polygon,50,34252.176,135890.97
0,polygon,51,35505.645,136058.1
0,polygon,52,39266.047,136058.1
0,polygon,53,40770.207,135974.53
0,polygon,54,42692.19,135890.97
0,polygon,55,46369.03,135890.97
0,polygon,56,47622.5,135807.4
0,polygon,57,48625.273,135807.4
0,polygon,58,49628.047,135640.27
0,polygon,59,51633.594,135556.7
0,polygon,60,52552.805,135556.7
0,polygon,61,53889.836,135222.45
0,polygon,62,55310.434,134553.94
0,polygon,63,56480.336,134052.55
0,polygon,64,57566.676,133718.28
0,polygon,65,58485.887,133384.03
0,polygon,66,59154.402,132548.39
0,polygon,67,59822.918,131545.61
0,polygon,68,60658.562,131044.23
0,polygon,69,61327.08,130292.14
0,polygon,70,61327.08,128370.16
0,polygon,71,61243.516,127283.82
0,polygon,72,60992.82,126281.05
0,polygon,73,60909.254,125445.4
0,polygon,74,60574.996,124609.76
0,polygon,75,59822.918,125111.14
0,polygon,76,57315.98,126113.914
0,polygon,77,56480.336,126531.74
0,polygon,78,55644.69,127033.125
0,polygon,79,54976.176,127701.64
0,polygon,80,54474.79,128453.73
0,polygon,81,53722.707,128955.11
0,polygon,82,52887.062,129205.805
0,polygon,83,51967.85,129289.37
0,polygon,84,51132.207,129372.93
0,polygon,85,49278.16,129721.26
0,polygon,86,48249.96,129761.86
0,polygon,87,47526.547,129950.57
0,polygon,88,46645.867,130097.35
0,polygon,89,45167.07,130186.37
0,polygon,90,44353.645,130118.586
0,polygon,91,43675.79,130050.8
0,polygon,92,42930.145,129983.01
0,polygon,93,42184.504,129983.01
0,polygon,94,40828.79,129576.3
0,polygon,95,40150.934,129508.51
0,polygon,96,39405.293,129440.73
0,polygon,97,38795.22,129034.016
0,polygon,98,38185.15,128695.086
0,polygon,99,37507.293,128423.94
