index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,20110.334,12898.676
0,polygon,1,20175.826,13324.368
0,polygon,2,20306.809,13651.824
0,polygon,3,20634.264,13913.79
0,polygon,4,20830.738,14208.5
0,polygon,5,20797.992,14535.956
0,polygon,6,20568.773,14896.158
0,polygon,7,20339.555,15158.123
0,polygon,8,20077.588,15452.834
0,polygon,9,19815.623,15714.799
0,polygon,10,19586.404,15976.764
0,polygon,11,19389.932,16271.475
0,polygon,12,18800.51,16860.895
0,polygon,13,18743.336,17280.252
0,polygon,14,18603.508,17577.385
0,polygon,15,18446.203,17979.387
0,polygon,16,18271.42,18293.996
0,polygon,17,18079.158,18713.479
0,polygon,18,17851.94,19150.438
0,polygon,19,17432.457,19447.568
0,polygon,20,17047.934,19744.701
0,polygon,21,16639.299,20004.475
0,polygon,22,16475.57,20331.932
0,polygon,23,16246.352,20757.623
0,polygon,24,15984.387,21150.572
0,polygon,25,15689.676,21510.773
0,polygon,26,15460.456,21838.229
0,polygon,27,15198.491,22132.94
0,polygon,28,14903.781,22493.143
0,polygon,29,14674.562,22787.852
0,polygon,30,14445.342,23115.309
0,polygon,31,14150.632,23475.51
0,polygon,32,13888.667,23999.44
0,polygon,33,13626.702,24457.879
0,polygon,34,13233.754,24883.572
0,polygon,35,12709.824,25407.502
0,polygon,36,12447.859,25767.703
0,polygon,37,11923.93,26127.906
0,polygon,38,11498.236,26488.107
0,polygon,39,11007.052,26946.547
0,polygon,40,10745.087,27208.512
0,polygon,41,10483.122,27437.73
0,polygon,42,10057.43,27896.17
0,polygon,43,9795.464,28158.135
0,polygon,44,9238.789,28616.572
0,polygon,45,8780.351,28976.775
0,polygon,46,8387.402,29304.23
0,polygon,47,7961.7095,29697.178
0,polygon,48,7437.78,30090.125
0,polygon,49,6946.595,30548.564
0,polygon,50,6619.139,30777.783
0,polygon,51,6193.4463,31137.984
0,polygon,52,5865.99,31334.459
0,polygon,53,5636.7705,31072.494
0,polygon,54,5374.8057,30745.037
0,polygon,55,5211.0776,30384.836
0,polygon,56,5309.3145,29926.396
0,polygon,57,5440.297,29533.45
0,polygon,58,5538.5337,29173.248
0,polygon,59,5604.025,28747.555
0,polygon,60,5735.0073,28420.1
0,polygon,61,5931.4814,28059.896
0,polygon,62,6193.4463,27797.932
0,polygon,63,6389.92,27503.22
0,polygon,64,6553.648,27175.766
0,polygon,65,6684.6304,26782.818
0,polygon,66,6815.613,26258.889
0,polygon,67,7012.087,25767.703
0,polygon,68,7306.7974,25243.773
0,polygon,69,7601.508,24850.826
0,polygon,70,7830.727,24490.625
0,polygon,71,8092.692,24163.168
0,polygon,72,8387.402,23770.22
0,polygon,73,8649.367,23475.51
0,polygon,74,8878.587,23180.8
0,polygon,75,9140.552,22886.09
0,polygon,76,9337.025,22525.887
0,polygon,77,9566.245,22132.94
0,polygon,78,9893.701,21707.246
0,polygon,79,10221.157,21150.572
0,polygon,80,10548.613,20659.387
0,polygon,81,11039.798,20004.475
0,polygon,82,11269.018,19742.51
0,polygon,83,11530.982,19447.799
0,polygon,84,11792.947,19120.344
0,polygon,85,12251.386,18792.887
0,polygon,86,12644.333,18432.686
0,polygon,87,12939.044,18170.72
0,polygon,88,13233.754,17777.773
0,polygon,89,13528.465,17515.809
0,polygon,90,13757.685,17253.842
0,polygon,91,14052.395,16860.895
0,polygon,92,14445.342,16435.203
0,polygon,93,14674.562,16140.491
0,polygon,94,14903.781,15649.308
0,polygon,95,15067.509,15289.105
0,polygon,96,15263.982,14765.176
0,polygon,97,15460.456,14372.229
0,polygon,98,15624.185,14012.026
0,polygon,99,15918.8955,13717.315
0,polygon,100,16115.369,13422.605
0,polygon,101,16302.4795,12800.98
1,polygon,0,17026.656,105693.82
1,polygon,1,16529.01,106091.94
1,polygon,2,16081.127,106490.055
1,polygon,3,15633.244,106788.65
1,polygon,4,15135.597,107336.055
1,polygon,5,14787.244,107783.94
1,polygon,6,14538.421,108231.82
1,polygon,7,14140.303,108829.0
1,polygon,8,13742.186,109376.414
1,polygon,9,13344.067,110023.35
1,polygon,10,13095.244,110471.234
1,polygon,11,12597.597,111068.414
1,polygon,12,12149.715,111466.53
1,polygon,13,11652.067,111864.65
1,polygon,14,11353.4795,112362.29
1,polygon,15,10806.067,112859.94
1,polygon,16,10457.715,113307.82
1,polygon,17,9561.95,114004.53
1,polygon,18,8964.773,114402.65
1,polygon,19,8516.892,114651.47
1,polygon,20,7969.4795,114800.766
1,polygon,21,7372.3027,115099.35
1,polygon,22,6824.891,115497.47
1,polygon,23,6128.185,116044.88
1,polygon,24,5680.3027,116343.47
1,polygon,25,5132.891,116642.055
1,polygon,26,4585.4795,116890.88
1,polygon,27,4187.362,117239.234
1,polygon,28,3590.1853,116940.65
1,polygon,29,3241.8323,116443.0
1,polygon,30,3241.8323,115646.766
1,polygon,31,4137.597,113855.234
1,polygon,32,4485.9497,113457.12
1,polygon,33,4983.597,112859.94
1,polygon,34,5232.4204,112163.234
1,polygon,35,5481.244,111665.586
1,polygon,36,5779.8325,111118.17
1,polygon,37,6277.4795,110670.29
1,polygon,38,6775.1265,110371.7
1,polygon,39,7521.597,109724.766
1,polygon,40,8268.067,109127.586
1,polygon,41,8964.773,108629.94
1,polygon,42,9611.715,108231.82
1,polygon,43,10159.127,107883.47
1,polygon,44,10507.4795,107485.35
1,polygon,45,10706.538,106937.94
1,polygon,46,11005.127,106340.766
1,polygon,47,11353.4795,105892.88
1,polygon,48,11751.597,105544.53
1,polygon,49,12249.244,105295.7
1,polygon,50,12796.656,104997.12
1,polygon,51,13244.538,104698.53
1,polygon,52,13692.421,104300.414
1,polygon,53,14140.303,104051.586
