index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,30387.686,121440.1
0,polygon,1,29840.273,121241.05
0,polygon,2,29342.627,121141.516
0,polygon,3,28795.215,120892.695
0,polygon,4,28198.04,120743.4
0,polygon,5,27650.627,120643.87
0,polygon,6,27053.451,120494.58
0,polygon,7,26555.803,120295.516
0,polygon,8,26008.39,119947.164
0,polygon,9,25510.744,119748.1
0,polygon,10,24664.744,119399.75
0,polygon,11,24216.861,119150.93
0,polygon,12,23818.744,118752.81
0,polygon,13,23420.627,118404.46
0,polygon,14,22873.215,117956.58
0,polygon,15,22375.568,117608.23
0,polygon,16,21977.451,117259.87
0,polygon,17,21380.273,116811.984
0,polygon,18,20982.156,116463.63
0,polygon,19,20534.273,116115.28
0,polygon,20,20136.156,115717.164
0,polygon,21,19638.51,115169.75
0,polygon,22,19190.627,114771.63
0,polygon,23,18792.51,114323.75
0,polygon,24,18394.39,113925.63
0,polygon,25,17946.51,113427.984
0,polygon,26,17498.627,112980.1
0,polygon,27,17249.803,112382.93
0,polygon,28,16951.215,111935.05
0,polygon,29,16702.39,111437.4
0,polygon,30,16553.098,110889.984
0,polygon,31,16403.803,110392.34
0,polygon,32,16304.273,109894.695
0,polygon,33,16254.509,109397.05
0,polygon,34,16254.509,108849.63
0,polygon,35,16304.273,108202.695
0,polygon,36,16503.332,107605.516
0,polygon,37,16752.156,107157.63
0,polygon,38,16851.686,106610.23
0,polygon,39,17050.744,105963.28
0,polygon,40,17200.04,105415.87
0,polygon,41,17299.568,104818.695
0,polygon,42,17399.098,104321.05
0,polygon,43,17448.861,103624.34
0,polygon,44,17548.39,103076.93
0,polygon,45,17797.215,102529.516
0,polygon,46,18046.04,102031.87
0,polygon,47,18344.627,101384.93
0,polygon,48,18643.215,100837.516
0,polygon,49,18892.04,100240.34
0,polygon,50,19190.627,99792.46
0,polygon,51,19538.98,99344.58
0,polygon,52,19837.568,98846.93
0,polygon,53,20185.92,98448.81
0,polygon,54,20584.04,98100.46
0,polygon,55,21031.92,97752.1
0,polygon,56,21330.51,97304.23
0,polygon,57,21479.803,96707.05
0,polygon,58,21529.568,96159.63
0,polygon,59,21479.803,95661.984
0,polygon,60,21479.803,95114.58
0,polygon,61,20982.156,95164.34
0,polygon,62,20384.98,95313.63
