index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,50736.94,122223.77
0,polygon,1,50972.65,123048.74
0,polygon,2,51110.145,123520.16
0,polygon,3,51306.566,123638.01
0,polygon,4,51542.273,123696.94
0,polygon,5,51679.766,123913.0
0,polygon,6,51836.906,124070.14
0,polygon,7,52013.684,124286.2
0,polygon,8,52072.613,124639.766
0,polygon,9,52151.18,124836.19
0,polygon,10,52151.18,125209.39
0,polygon,11,51994.043,125386.164
0,polygon,12,51817.26,125484.375
0,polygon,13,51679.766,125641.516
0,polygon,14,51463.703,125877.22
0,polygon,15,51326.207,126034.36
0,polygon,16,51149.43,126270.06
0,polygon,17,50992.29,126505.77
0,polygon,18,50756.582,126741.48
0,polygon,19,50579.805,126937.9
0,polygon,20,50461.95,127193.25
0,polygon,21,50344.098,127428.95
0,polygon,22,50186.96,127605.734
0,polygon,23,50029.82,127802.16
0,polygon,24,49911.97,127998.58
0,polygon,25,49813.758,128175.36
0,polygon,26,49676.26,128332.5
0,polygon,27,49499.484,128469.99
0,polygon,28,49303.062,128548.56
0,polygon,29,49086.996,128627.13
0,polygon,30,48965.164,128709.67
0,polygon,31,48891.836,128750.586
0,polygon,32,48781.457,128778.18
0,polygon,33,48691.773,128812.68
0,polygon,34,48629.684,128860.97
0,polygon,35,48546.9,128860.97
0,polygon,36,48546.9,128785.08
0,polygon,37,48629.684,128722.99
0,polygon,38,48712.47,128647.11
0,polygon,39,48740.062,128529.83
0,polygon,40,48753.86,128426.34
0,polygon,41,48705.57,128350.46
0,polygon,42,48629.684,128309.07
0,polygon,43,48615.887,128115.91
0,polygon,44,48602.09,127957.234
0,polygon,45,48519.305,127743.375
0,polygon,46,48491.707,127632.99
0,polygon,47,48464.113,127557.11
0,polygon,48,48395.125,127467.42
0,polygon,49,48353.734,127398.44
0,polygon,50,48326.14,127329.445
0,polygon,51,48222.656,127184.58
0,polygon,52,48174.367,127115.586
0,polygon,53,48139.87,127046.6
0,polygon,54,48091.582,126970.71
0,polygon,55,48022.594,126908.625
0,polygon,56,47946.707,126881.03
0,polygon,57,47877.723,126874.13
0,polygon,58,47808.734,126846.54
0,polygon,59,47801.832,126662.875
0,polygon,60,47762.547,126466.45
0,polygon,61,47742.906,126230.74
0,polygon,62,47664.336,125975.4
0,polygon,63,47644.695,125700.41
0,polygon,64,47605.41,125425.414
0,polygon,65,47566.125,125130.78
0,polygon,66,47546.484,124914.72
0,polygon,67,47487.56,124679.01
0,polygon,68,47526.84,124423.664
0,polygon,69,47644.695,124207.59
0,polygon,70,47703.62,123873.68
0,polygon,71,47723.26,123677.26
0,polygon,72,47801.832,123480.836
0,polygon,73,47958.97,123323.695
0,polygon,74,48155.39,123245.125
0,polygon,75,48901.797,123245.125
0,polygon,76,49137.504,123225.484
0,polygon,77,49392.85,123166.56
0,polygon,78,49628.56,123087.99
0,polygon,79,49805.336,122989.78
0,polygon,80,50021.402,122813.0
0,polygon,81,50257.11,122655.86
0,polygon,82,50453.53,122498.73
0,polygon,83,50610.668,122321.945
1,polygon,0,54455.69,36459.56
1,polygon,1,54298.555,36597.055
1,polygon,2,54219.984,36872.047
1,polygon,3,54259.27,37088.11
1,polygon,4,54298.555,37382.742
1,polygon,5,54337.84,37775.586
1,polygon,6,54357.48,37991.652
1,polygon,7,54337.84,38286.285
1,polygon,8,54298.555,38659.49
1,polygon,9,54298.555,38954.12
1,polygon,10,54180.7,39189.824
1,polygon,11,54043.203,39366.605
1,polygon,12,53866.426,39504.1
1,polygon,13,53650.36,39543.387
1,polygon,14,53336.086,39602.312
1,polygon,15,53100.38,39739.81
1,polygon,16,52845.03,39838.02
1,polygon,17,52589.684,39975.516
1,polygon,18,52412.902,40093.367
1,polygon,19,52196.836,40211.22
1,polygon,20,51941.49,40368.36
1,polygon,21,51843.277,40564.78
1,polygon,22,51725.426,40820.13
1,polygon,23,51607.57,40996.91
1,polygon,24,51371.867,41055.836
1,polygon,25,51155.8,41095.12
1,polygon,26,50861.168,41134.402
1,polygon,27,50114.766,41134.402
1,polygon,28,49879.06,41154.047
1,polygon,29,49662.992,41212.973
1,polygon,30,49466.57,41252.258
1,polygon,31,49329.074,41075.477
1,polygon,32,49407.645,40839.77
1,polygon,33,49545.14,40662.992
1,polygon,34,49898.7,40407.645
1,polygon,35,50212.977,40289.79
1,polygon,36,50409.4,40211.22
1,polygon,37,50625.46,40073.727
1,polygon,38,50841.527,39916.586
1,polygon,39,50959.38,39720.164
1,polygon,40,50998.664,39445.176
1,polygon,41,51037.95,39111.258
1,polygon,42,51057.59,38816.625
1,polygon,43,51214.727,38305.926
1,polygon,44,51312.938,38089.863
1,polygon,45,51391.508,37854.156
1,polygon,46,51470.08,37657.734
1,polygon,47,51607.57,37461.312
1,polygon,48,51725.426,37284.53
1,polygon,49,51961.133,37088.11
1,polygon,50,52177.195,36989.9
1,polygon,51,52471.83,36891.688
1,polygon,52,52687.895,36813.12
1,polygon,53,52943.242,36734.55
1,polygon,54,53178.95,36714.91
1,polygon,55,53414.656,36813.12
1,polygon,56,53768.215,36891.688
1,polygon,57,53984.277,36891.688
