index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,51999.824,116729.25
0,polygon,1,51787.344,117239.2
0,polygon,2,51532.367,117664.164
0,polygon,3,51362.383,118089.125
0,polygon,4,50937.42,118259.11
0,polygon,5,50512.46,118556.586
0,polygon,6,50045.004,118811.56
0,polygon,7,49620.043,118896.555
0,polygon,8,48642.633,118896.555
0,polygon,9,48132.68,118726.57
0,polygon,10,47792.71,118429.09
0,polygon,11,47495.24,118089.125
0,polygon,12,47240.26,117664.164
0,polygon,13,47027.78,117239.2
0,polygon,14,46560.324,117366.695
0,polygon,15,46135.363,117494.18
0,polygon,16,45752.9,117749.16
0,polygon,17,45327.938,118089.125
0,polygon,18,44902.977,118344.1
0,polygon,19,44138.047,118769.06
0,polygon,20,43798.08,119066.54
0,polygon,21,43373.117,119279.016
0,polygon,22,43033.15,119576.49
0,polygon,23,42650.684,119788.97
0,polygon,24,42225.723,120001.45
0,polygon,25,41817.504,120128.945
0,polygon,26,41565.836,120268.76
0,polygon,27,41258.246,120324.68
0,polygon,28,40950.656,120408.57
0,polygon,29,40671.027,120436.53
0,polygon,30,40363.438,120464.5
0,polygon,31,39021.223,120464.5
0,polygon,32,38713.63,120380.61
0,polygon,33,38434.004,120184.87
0,polygon,34,38210.3,119989.125
0,polygon,35,37958.633,119765.43
0,polygon,36,37679.008,119569.69
0,polygon,37,37371.414,119345.984
0,polygon,38,36979.938,118898.58
0,polygon,39,36728.27,118646.914
0,polygon,40,36504.566,118395.25
0,polygon,41,36252.902,118143.586
0,polygon,42,35994.73,117941.336
0,polygon,43,35822.37,117631.09
0,polygon,44,35546.594,117320.84
0,polygon,45,35305.293,117045.07
0,polygon,46,35029.516,116734.82
0,polygon,47,34857.156,116424.58
0,polygon,48,34650.324,116114.33
0,polygon,49,34358.504,115822.5
0,polygon,50,33976.04,115610.016
0,polygon,51,33593.574,115355.04
0,polygon,52,33126.117,115100.06
0,polygon,53,32658.66,114930.08
0,polygon,54,32276.195,114675.1
0,polygon,55,31936.227,114292.64
0,polygon,56,31766.242,113867.68
0,polygon,57,31766.242,112380.31
0,polygon,58,31808.738,111955.35
0,polygon,59,32063.715,111530.39
0,polygon,60,32403.684,111147.93
0,polygon,61,32658.66,110680.47
0,polygon,62,32998.63,110213.016
0,polygon,63,33253.605,109830.55
0,polygon,64,33636.07,109575.57
0,polygon,65,34401.0,108810.64
0,polygon,66,34740.97,108513.17
0,polygon,67,35123.434,108258.195
0,polygon,68,35590.89,108003.22
0,polygon,69,36058.348,107918.23
0,polygon,70,36483.31,107748.24
0,polygon,71,36908.27,107705.74
0,polygon,72,37333.23,107620.75
0,polygon,73,37800.688,107620.75
0,polygon,74,38225.65,107578.26
0,polygon,75,38735.6,107620.75
0,polygon,76,39160.562,107663.25
0,polygon,77,39628.02,107748.24
0,polygon,78,40052.98,107790.734
0,polygon,79,40562.934,107748.24
0,polygon,80,40945.4,107493.266
0,polygon,81,41370.36,107365.77
0,polygon,82,41837.816,107280.78
0,polygon,83,42857.723,107280.78
0,polygon,84,43282.684,107450.766
0,polygon,85,43750.14,107620.75
0,polygon,86,44132.605,108045.71
0,polygon,87,44600.062,108088.21
0,polygon,88,44940.03,108470.67
0,polygon,89,45322.496,108768.15
0,polygon,90,45704.96,108980.625
0,polygon,91,46087.426,109278.1
0,polygon,92,46512.387,109533.08
0,polygon,93,46852.355,109830.55
0,polygon,94,47192.324,110213.016
0,polygon,95,47574.79,110425.49
0,polygon,96,47957.254,110680.47
0,polygon,97,48382.215,110892.95
0,polygon,98,48764.68,111232.92
0,polygon,99,49189.64,111487.9
0,polygon,100,49614.6,111615.38
0,polygon,101,50039.562,111827.87
0,polygon,102,50422.027,112210.33
0,polygon,103,50846.99,112550.3
0,polygon,104,51186.957,112847.77
0,polygon,105,51611.918,113102.75
0,polygon,106,52291.855,113697.695
