index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,56873.562,41350.438
0,polygon,1,56933.875,40958.402
0,polygon,2,56933.875,40626.676
0,polygon,3,56903.72,40325.11
0,polygon,4,56964.03,39993.387
0,polygon,5,57054.504,39571.19
0,polygon,6,57144.973,39209.31
0,polygon,7,57205.285,38817.27
0,polygon,8,57235.44,38515.703
0,polygon,9,57295.758,38214.137
0,polygon,10,57476.695,37942.727
0,polygon,11,57778.266,37882.41
0,polygon,12,58079.832,37912.566
0,polygon,13,58411.555,37912.566
0,polygon,14,58713.125,37942.727
0,polygon,15,59014.69,38033.195
0,polygon,16,59376.574,38063.35
0,polygon,17,59798.77,38183.98
0,polygon,18,60130.492,38304.605
0,polygon,19,60432.06,38455.39
0,polygon,20,60733.63,38545.86
0,polygon,21,61065.35,38576.016
0,polygon,22,61366.918,38726.8
0,polygon,23,61698.645,38937.9
0,polygon,24,61939.9,39148.996
0,polygon,25,62150.996,39390.25
0,polygon,26,62331.938,39691.816
0,polygon,27,62573.19,40023.543
0,polygon,28,62784.29,40355.266
0,polygon,29,62965.227,40626.676
0,polygon,30,63146.168,40958.402
0,polygon,31,63266.797,41290.125
0,polygon,32,63327.11,41652.008
0,polygon,33,63447.734,41953.574
0,polygon,34,63658.832,42194.83
0,polygon,35,63779.46,42496.395
0,polygon,36,63930.246,42767.81
0,polygon,37,64050.87,43129.688
0,polygon,38,64141.34,43551.883
0,polygon,39,64141.34,45029.566
0,polygon,40,64171.5,45391.445
0,polygon,41,64201.656,45693.01
0,polygon,42,64261.97,46024.74
0,polygon,43,64261.97,47291.32
0,polygon,44,64141.34,47623.047
0,polygon,45,64081.027,47984.926
0,polygon,46,63900.086,48256.34
0,polygon,47,63688.992,48527.75
0,polygon,48,63538.207,48859.473
0,polygon,49,63327.11,49221.355
0,polygon,50,63176.324,49492.766
0,polygon,51,62995.383,49824.49
0,polygon,52,62707.105,50158.59
0,polygon,53,62248.8,50433.574
0,polygon,54,61836.33,50662.727
0,polygon,55,61332.195,50937.707
0,polygon,56,60415.59,51487.67
0,polygon,57,60003.117,51716.824
0,polygon,58,59498.98,51945.973
0,polygon,59,58994.848,52220.957
0,polygon,60,58582.375,52495.938
0,polygon,61,58124.07,52633.43
0,polygon,62,57115.805,52725.09
0,polygon,63,56565.84,52908.41
0,polygon,64,56061.707,52954.242
0,polygon,65,54228.496,52954.242
0,polygon,66,53632.7,52862.582
0,polygon,67,53082.74,52770.92
0,polygon,68,52349.453,52725.09
0,polygon,69,51707.83,52679.258
0,polygon,70,51157.863,52679.258
0,polygon,71,50607.9,52725.09
0,polygon,72,50103.766,52816.75
0,polygon,73,49645.46,52862.582
0,polygon,74,49187.16,52954.242
0,polygon,75,48178.89,52954.242
0,polygon,76,47308.117,52404.277
0,polygon,77,46712.32,52175.125
0,polygon,78,45841.547,51991.805
0,polygon,79,45337.41,51900.145
0,polygon,80,44649.957,51808.484
0,polygon,81,44008.332,51670.992
0,polygon,82,43550.027,51625.16
0,polygon,83,42816.742,51487.67
0,polygon,84,42037.63,51304.35
0,polygon,85,41396.004,51121.027
0,polygon,86,40800.21,50937.707
0,polygon,87,40204.414,50708.555
0,polygon,88,39746.113,50525.234
0,polygon,89,39333.64,50296.082
0,polygon,90,38921.164,50021.1
0,polygon,91,38233.71,49654.457
0,polygon,92,37408.766,49287.816
0,polygon,93,36767.14,49104.492
0,polygon,94,36033.855,48829.51
0,polygon,95,35392.23,48508.7
0,polygon,96,34888.098,48187.887
0,polygon,97,34383.965,47729.586
0,polygon,98,33788.168,47271.28
0,polygon,99,33238.207,46904.637
0,polygon,100,32734.072,46537.996
0,polygon,101,32321.6,46217.184
0,polygon,102,31863.295,45804.71
0,polygon,103,31450.822,45254.746
0,polygon,104,31038.35,44888.105
0,polygon,105,30671.707,44521.46
0,polygon,106,30213.404,44292.31
0,polygon,107,30442.557,43879.836
0,polygon,108,30763.367,43513.195
0,polygon,109,31221.672,43054.89
0,polygon,110,31817.465,42688.25
0,polygon,111,32229.938,42321.605
0,polygon,112,32550.75,41954.965
0,polygon,113,33009.055,41588.32
0,polygon,114,33513.188,41221.68
0,polygon,115,34017.32,40992.527
0,polygon,116,34521.453,40717.543
0,polygon,117,34933.926,40442.562
0,polygon,118,35300.57,40121.75
0,polygon,119,35667.21,39755.11
0,polygon,120,36033.855,39434.297
0,polygon,121,36492.16,39617.617
0,polygon,122,36812.973,39984.258
0,polygon,123,37179.613,40350.902
0,polygon,124,37637.918,40671.715
0,polygon,125,38004.56,40992.527
0,polygon,126,38829.504,41634.152
0,polygon,127,39150.316,42000.793
0,polygon,128,39516.96,42367.438
0,polygon,129,39837.773,42825.74
0,polygon,130,40204.414,43192.383
0,polygon,131,40616.887,43467.363
0,polygon,132,41166.85,43604.855
0,polygon,133,41625.156,43696.516
0,polygon,134,42083.457,43879.836
0,polygon,135,42587.594,44154.82
0,polygon,136,43000.066,44383.97
0,polygon,137,43504.2,44521.46
0,polygon,138,43916.67,44842.273
0,polygon,139,44283.312,45208.918
0,polygon,140,44787.45,45438.066
0,polygon,141,45245.75,45483.9
0,polygon,142,45795.715,45483.9
0,polygon,143,46299.848,45667.22
0,polygon,144,46758.152,45850.543
0,polygon,145,47216.453,45942.203
0,polygon,146,47720.59,45942.203
0,polygon,147,48224.723,45988.03
0,polygon,148,49737.12,45988.03
0,polygon,149,50241.258,46033.863
0,polygon,150,50699.56,46125.523
0,polygon,151,51203.69,46171.35
0,polygon,152,51661.996,46217.184
0,polygon,153,52211.96,46171.35
0,polygon,154,52624.434,45942.203
0,polygon,155,53632.7,45942.203
0,polygon,156,54091.004,45988.03
0,polygon,157,54595.137,45988.03
0,polygon,158,55053.44,46033.863
0,polygon,159,56061.707,46033.863
0,polygon,160,56520.01,45942.203
0,polygon,161,56978.312,45758.88
0,polygon,162,57299.125,45392.24
0,polygon,163,57619.938,44979.766
0,polygon,164,57849.09,44567.293
0,polygon,165,57894.92,44063.16
0,polygon,166,57849.09,43604.855
0,polygon,167,57665.77,43146.55
0,polygon,168,56840.824,42688.25
1,polygon,0,30616.56,44323.496
1,polygon,1,29599.586,43645.516
1,polygon,2,28978.104,43306.523
1,polygon,3,28300.121,42911.035
1,polygon,4,27735.135,42628.543
1,polygon,5,26944.156,42289.55
1,polygon,6,26379.172,41950.56
1,polygon,7,25870.684,41498.57
1,polygon,8,25475.195,40990.086
1,polygon,9,24966.707,40481.598
1,polygon,10,24288.727,39860.113
1,polygon,11,23610.744,39408.125
1,polygon,12,22876.264,39012.637
1,polygon,13,22141.781,38560.65
1,polygon,14,21520.299,38221.656
1,polygon,15,21068.31,37826.168
1,polygon,16,20390.328,37317.68
1,polygon,17,19825.342,36978.69
1,polygon,18,19034.363,36526.703
1,polygon,19,18525.877,36074.715
1,polygon,20,17678.398,35453.23
1,polygon,21,17169.912,35114.24
1,polygon,22,16435.432,34492.754
1,polygon,23,15418.458,33532.28
1,polygon,24,14514.481,32684.803
1,polygon,25,13780.001,32006.82
1,polygon,26,13102.019,31328.838
1,polygon,27,12480.535,30594.357
1,polygon,28,11915.55,29746.879
1,polygon,29,11350.564,28955.9
1,polygon,30,10672.583,27599.936
1,polygon,31,9994.601,26639.46
1,polygon,32,9373.116,25735.484
1,polygon,33,8921.128,25170.5
1,polygon,34,8525.639,24605.514
1,polygon,35,8186.6475,24097.027
1,polygon,36,7734.6597,23645.04
1,polygon,37,7169.6743,22910.559
1,polygon,38,6830.683,22232.576
1,polygon,39,6435.1934,21498.096
1,polygon,40,6209.1997,20933.11
1,polygon,41,6039.704,20368.125
1,polygon,42,5983.2056,19407.65
