index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,41452.723,33760.305
0,polygon,1,41043.78,33871.836
0,polygon,2,40746.367,34169.25
0,polygon,3,40337.426,34355.13
0,polygon,4,39928.484,34355.13
0,polygon,5,39482.367,34503.836
0,polygon,6,39036.246,34689.72
0,polygon,7,38701.66,34912.777
0,polygon,8,38441.42,35210.19
0,polygon,9,38329.895,35693.484
0,polygon,10,38292.72,36139.605
0,polygon,11,38441.42,36548.547
0,polygon,12,38552.953,36920.312
0,polygon,13,38701.66,37366.43
0,polygon,14,38776.01,37738.195
0,polygon,15,38887.543,38147.137
0,polygon,16,39036.246,38556.08
0,polygon,17,39147.777,38965.02
0,polygon,18,39370.836,39373.96
0,polygon,19,39631.074,39671.375
0,polygon,20,40300.25,40266.2
0,polygon,21,40523.31,40600.79
0,polygon,22,40783.543,40898.2
0,polygon,23,41118.133,41269.965
0,polygon,24,41378.37,41604.555
0,polygon,25,41712.957,41901.965
0,polygon,26,42084.723,42125.027
0,polygon,27,42419.312,42385.26
0,polygon,28,42716.723,42682.67
0,polygon,29,43125.668,43017.26
0,polygon,30,43943.55,43426.203
0,polygon,31,44426.844,43686.44
0,polygon,32,45244.727,44058.203
0,polygon,33,45728.023,44169.734
0,polygon,34,46136.965,44318.44
0,polygon,35,46583.082,44504.324
0,polygon,36,47029.203,44615.85
0,polygon,37,47475.32,44653.03
0,polygon,38,47958.613,44653.03
0,polygon,39,48367.56,44615.85
0,polygon,40,48776.5,44429.97
0,polygon,41,49259.793,44206.91
0,polygon,42,49631.56,44021.027
0,polygon,43,50003.324,43797.97
0,polygon,44,50337.914,43612.086
0,polygon,45,50635.324,43314.676
0,polygon,46,50895.562,43017.26
0,polygon,47,51118.62,42682.67
0,polygon,48,51304.504,42348.086
0,polygon,49,51416.03,41864.79
0,polygon,50,51601.914,41530.2
0,polygon,51,51973.68,41269.965
0,polygon,52,52419.797,41269.965
0,polygon,53,52828.742,41344.32
0,polygon,54,53720.977,41344.32
0,polygon,55,54538.86,41232.79
0,polygon,56,54947.8,41084.082
0,polygon,57,55330.57,40673.574
0,polygon,58,55565.6,40373.26
0,polygon,59,55630.887,40007.66
0,polygon,60,55774.516,39642.062
0,polygon,61,56137.453,39411.14
0,polygon,62,56063.098,38481.727
0,polygon,63,55988.746,38072.785
0,polygon,64,55691.332,37738.195
0,polygon,65,55393.92,37329.254
0,polygon,66,55096.508,36808.78
0,polygon,67,54799.098,36474.19
0,polygon,68,54390.156,36362.664
0,polygon,69,54055.566,36139.605
0,polygon,70,53683.8,35879.367
0,polygon,71,53163.33,35693.484
0,polygon,72,52531.33,35619.133
0,polygon,73,52122.387,35619.133
0,polygon,74,51713.445,35656.31
0,polygon,75,51230.15,35730.664
0,polygon,76,50263.56,35730.664
0,polygon,77,49891.793,35767.84
0,polygon,78,48553.44,35767.84
0,polygon,79,48181.676,35693.484
0,polygon,80,47735.555,35619.133
0,polygon,81,47363.79,35544.78
0,polygon,82,46806.145,35470.426
0,polygon,83,46285.67,35433.25
0,polygon,84,45876.73,35358.9
0,polygon,85,45504.965,35210.19
0,polygon,86,45133.2,35024.31
0,polygon,87,44649.902,34838.426
0,polygon,88,44278.137,34764.074
0,polygon,89,43869.195,34615.367
0,polygon,90,43497.43,34466.66
0,polygon,91,43088.49,34355.13
0,polygon,92,42642.37,34132.07
1,polygon,0,51397.25,116490.37
1,polygon,1,51694.664,116899.31
1,polygon,2,51880.547,117382.6
1,polygon,3,51917.723,117754.37
1,polygon,4,52066.43,118126.13
1,polygon,5,52326.664,118535.08
1,polygon,6,52438.195,118906.84
1,polygon,7,52363.84,119315.78
1,polygon,8,52140.78,119650.375
1,polygon,9,51806.19,119873.43
1,polygon,10,51434.426,120022.14
1,polygon,11,51062.664,120319.555
1,polygon,12,50690.9,120542.61
1,polygon,13,50244.777,120691.31
1,polygon,14,49873.01,120840.02
1,polygon,15,49501.25,120951.555
1,polygon,16,49092.305,120988.73
1,polygon,17,48757.72,121174.61
1,polygon,18,48385.953,121286.14
1,polygon,19,47493.715,121286.14
1,polygon,20,47121.95,121248.96
1,polygon,21,46266.89,121248.96
1,polygon,22,45857.95,121360.49
1,polygon,23,45486.184,121583.555
1,polygon,24,45077.242,121843.79
1,polygon,25,44742.652,122066.85
1,polygon,26,44370.887,122252.734
1,polygon,27,44073.477,122512.97
1,polygon,28,43999.12,122884.734
1,polygon,29,43738.887,123219.32
1,polygon,30,43553.004,123628.266
1,polygon,31,43255.59,124000.03
1,polygon,32,42883.824,124148.734
1,polygon,33,42400.53,124148.734
1,polygon,34,41880.06,124185.91
1,polygon,35,41433.94,124074.38
1,polygon,36,40541.703,123776.97
1,polygon,37,40132.76,123739.79
1,polygon,38,39723.82,123628.266
1,polygon,39,39277.703,123442.38
1,polygon,40,38757.23,123293.67
1,polygon,41,38348.29,123144.97
1,polygon,42,38013.7,122921.91
1,polygon,43,37753.465,122624.49
1,polygon,44,37418.875,122252.734
1,polygon,45,36749.7,121732.26
1,polygon,46,36154.875,121211.79
1,polygon,47,35783.11,120728.49
1,polygon,48,35522.87,120170.84
1,polygon,49,35262.637,119836.26
1,polygon,50,34965.227,119352.96
1,polygon,51,34890.87,118981.195
1,polygon,52,34779.344,118386.375
1,polygon,53,34667.812,117903.08
1,polygon,54,34630.637,117531.31
1,polygon,55,34667.812,117010.84
1,polygon,56,34816.52,116639.08
1,polygon,57,35002.402,116192.95
1,polygon,58,35039.58,115821.19
1,polygon,59,35039.58,115412.25
1,polygon,60,35299.812,115040.484
1,polygon,61,35522.87,114705.9
1,polygon,62,35968.992,114557.19
1,polygon,63,36377.934,114408.484
1,polygon,64,37307.348,114408.484
1,polygon,65,37753.465,114185.42
1,polygon,66,38162.406,113999.54
1,polygon,67,39091.82,113999.54
1,polygon,68,39389.23,114296.95
1,polygon,69,39760.996,114482.836
1,polygon,70,40504.527,114780.25
1,polygon,71,40987.824,114966.13
1,polygon,72,41396.766,115152.016
1,polygon,73,41842.883,115300.72
1,polygon,74,42772.297,115300.72
1,polygon,75,43255.59,115263.55
1,polygon,76,43850.414,115263.55
1,polygon,77,44519.594,115189.19
1,polygon,78,44891.36,115114.836
1,polygon,79,45263.125,115077.664
1,polygon,80,45634.89,114966.13
1,polygon,81,46155.36,114780.25
1,polygon,82,46750.184,114631.54
1,polygon,83,47270.656,114594.37
1,polygon,84,48348.777,114594.37
1,polygon,85,48757.72,114668.72
1,polygon,86,49166.66,114705.9
1,polygon,87,49687.13,114928.95
1,polygon,88,50207.6,115226.37
1,polygon,89,50653.72,115486.6
1,polygon,90,50988.31,115784.016
2,polygon,0,42325.965,124105.305
2,polygon,1,42325.965,124306.41
2,polygon,2,42347.133,124433.414
2,polygon,3,42347.133,124740.36
2,polygon,4,42078.234,124782.69
2,polygon,5,41809.336,124758.24
2,polygon,6,41515.992,124684.91
2,polygon,7,41222.65,124587.125
2,polygon,8,40953.75,124587.125
2,polygon,9,40415.953,124489.34
2,polygon,10,40147.055,124464.9
2,polygon,11,39829.266,124342.67
2,polygon,12,39511.477,124196.0
2,polygon,13,39193.69,124073.77
2,polygon,14,38875.902,123878.21
2,polygon,15,38558.113,123707.09
2,polygon,16,38313.66,123535.98
2,polygon,17,38093.652,123413.75
2,polygon,18,37873.645,123218.19
2,polygon,19,37604.746,123047.07
2,polygon,20,37335.848,122802.62
2,polygon,21,37140.285,122631.5
2,polygon,22,36895.832,122484.83
2,polygon,23,36529.152,122313.71
2,polygon,24,36260.254,122191.484
2,polygon,25,36040.25,122020.37
2,polygon,26,35795.797,121580.35
2,polygon,27,35673.57,121311.46
2,polygon,28,35575.79,121067.01
2,polygon,29,35453.562,120822.555
2,polygon,30,35258.0,120626.99
2,polygon,31,35111.33,120382.54
2,polygon,32,35062.438,120040.305
2,polygon,33,34964.656,119795.85
2,polygon,34,34793.54,119502.51
2,polygon,35,34744.65,119209.164
2,polygon,36,34695.758,118940.266
2,polygon,37,34646.867,118622.48
2,polygon,38,34622.42,118206.91
2,polygon,39,34622.42,117644.664
2,polygon,40,34646.867,117400.21
2,polygon,41,34940.21,117082.42
2,polygon,42,35258.0,116862.414
2,polygon,43,35526.9,116691.3
