index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,22176.275,16066.353
0,polygon,1,22436.516,15768.937
0,polygon,2,22510.87,15397.166
0,polygon,3,22622.4,14988.218
0,polygon,4,22548.047,14542.093
0,polygon,5,22176.275,14170.322
0,polygon,6,21804.506,13872.906
0,polygon,7,21432.734,13687.0205
0,polygon,8,21060.965,13463.958
0,polygon,9,20391.777,12943.4795
0,polygon,10,20057.184,12646.0625
0,polygon,11,19685.412,12423.001
0,polygon,12,19313.643,12237.115
0,polygon,13,18941.871,12125.584
0,polygon,14,18570.102,12051.2295
0,polygon,15,18161.154,11753.813
0,polygon,16,17789.383,11605.105
0,polygon,17,17454.79,12088.407
0,polygon,18,17231.727,12608.886
0,polygon,19,16711.248,13724.198
0,polygon,20,16413.832,14207.5
0,polygon,21,16227.946,14653.624
0,polygon,22,16079.238,15025.395
0,polygon,23,15856.176,15359.988
0,polygon,24,15670.29,15694.582
0,polygon,25,15484.405,16066.353
0,polygon,26,15261.343,16438.123
0,polygon,27,15075.457,16772.717
0,polygon,28,14852.395,17144.488
0,polygon,29,14554.979,17479.082
0,polygon,30,14294.739,17813.674
0,polygon,31,13997.322,18222.623
0,polygon,32,13699.906,18668.748
0,polygon,33,13179.427,19486.643
0,polygon,34,12919.1875,19932.768
0,polygon,35,12696.125,20304.537
0,polygon,36,12547.417,20713.486
0,polygon,37,12361.531,21048.078
0,polygon,38,12175.646,21457.027
0,polygon,39,11915.407,21940.328
0,polygon,40,11841.053,22312.1
0,polygon,41,11729.521,22683.87
0,polygon,42,11580.813,23092.818
0,polygon,43,11469.282,23464.588
0,polygon,44,11394.928,23873.535
0,polygon,45,11283.396,24319.66
0,polygon,46,11134.688,24765.785
0,polygon,47,11023.157,25174.732
0,polygon,48,10874.449,25546.504
0,polygon,49,10725.741,25992.629
0,polygon,50,10725.741,26401.576
0,polygon,51,10651.387,26773.348
0,polygon,52,10465.502,27182.295
0,polygon,53,10353.971,27554.064
0,polygon,54,10391.147,27925.836
0,polygon,55,10577.032,28334.783
0,polygon,56,10874.449,28595.023
0,polygon,57,11060.335,28929.617
0,polygon,58,11432.105,28780.908
0,polygon,59,11729.521,28371.96
0,polygon,60,12064.115,28037.367
0,polygon,61,12287.178,27665.596
0,polygon,62,12510.24,27331.002
0,polygon,63,12807.656,26922.055
0,polygon,64,13142.25,26513.107
0,polygon,65,13439.667,26252.867
0,polygon,66,13737.083,25955.451
0,polygon,67,14257.562,25397.795
0,polygon,68,14629.333,24988.848
0,polygon,69,15001.104,24542.723
0,polygon,70,15298.52,24208.129
0,polygon,71,15781.821,23650.473
0,polygon,72,16042.061,23278.703
0,polygon,73,16227.946,22906.932
0,polygon,74,16451.008,22572.338
0,polygon,75,16971.488,21680.09
0,polygon,76,17231.727,21122.434
0,polygon,77,17417.611,20713.486
0,polygon,78,17938.092,19412.29
0,polygon,79,18123.977,19040.518
0,polygon,80,18347.04,18668.748
0,polygon,81,18607.277,18371.33
0,polygon,82,18941.871,18036.736
0,polygon,83,19313.643,17739.32
0,polygon,84,19499.527,17404.727
0,polygon,85,19685.412,17032.957
0,polygon,86,20020.006,16661.186
0,polygon,87,20354.6,16475.3
0,polygon,88,20763.549,16252.238
0,polygon,89,21135.318,16140.707
0,polygon,90,21544.266,16103.529
1,polygon,0,20122.516,94263.055
1,polygon,1,20574.797,94082.15
1,polygon,2,21072.396,93873.23
1,polygon,3,21576.537,93735.734
1,polygon,4,21805.693,93323.26
1,polygon,5,21943.186,92864.945
1,polygon,6,21714.031,92360.805
1,polygon,7,21301.553,92131.65
1,polygon,8,20934.904,91673.336
1,polygon,9,20659.918,91260.86
1,polygon,10,20155.777,91077.54
1,polygon,11,19743.299,90848.38
1,polygon,12,19284.988,90710.89
1,polygon,13,18826.68,90527.56
1,polygon,14,18460.031,90206.75
1,polygon,15,18001.72,89885.93
1,polygon,16,17543.412,89519.28
1,polygon,17,17176.764,89152.63
1,polygon,18,16760.666,89757.484
1,polygon,19,16064.156,90453.99
1,polygon,20,15576.6,91220.16
1,polygon,21,15297.995,91916.664
1,polygon,22,14810.438,92543.52
