index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,55602.918,40289.055
0,polygon,1,55642.062,40419.535
0,polygon,2,55707.305,40550.016
0,polygon,3,55785.59,40693.543
0,polygon,4,55889.977,40954.5
0,polygon,5,55916.07,41084.98
0,polygon,6,55929.117,41215.46
0,polygon,7,55850.832,41372.035
0,polygon,8,55759.496,41502.516
0,polygon,9,55681.207,41632.996
0,polygon,10,55642.062,41763.477
0,polygon,11,55433.297,42181.008
0,polygon,12,55368.055,42324.535
0,polygon,13,55302.816,42507.207
0,polygon,14,55224.527,42624.64
0,polygon,15,55133.19,42755.12
0,polygon,16,55081.0,42885.598
0,polygon,17,55002.715,43016.08
0,polygon,18,54885.28,43120.46
0,polygon,19,54754.8,43198.75
0,polygon,20,54650.418,43303.133
0,polygon,21,54559.082,43433.613
0,polygon,22,54467.746,43537.996
0,polygon,23,54376.41,43668.477
0,polygon,24,54232.883,43798.957
0,polygon,25,54076.31,43903.34
0,polygon,26,53945.83,43994.676
0,polygon,27,53802.3,44112.11
0,polygon,28,53684.867,44203.445
0,polygon,29,53554.39,44320.875
0,polygon,30,53293.43,44529.645
0,polygon,31,53071.613,44699.266
0,polygon,32,52901.992,44816.7
0,polygon,33,52758.465,44881.938
0,polygon,34,52432.266,44881.938
0,polygon,35,52210.45,44842.793
0,polygon,36,52079.97,44829.746
0,polygon,37,51923.395,44816.7
0,polygon,38,51766.82,44816.7
0,polygon,39,51610.242,44790.6
0,polygon,40,51492.812,44855.844
0,polygon,41,51349.285,44934.13
0,polygon,42,51153.562,44947.176
0,polygon,43,51010.035,44947.176
0,polygon,44,50840.414,44960.227
0,polygon,45,50696.887,44986.32
0,polygon,46,50566.406,44999.37
0,polygon,47,50422.88,45012.418
0,polygon,48,49874.863,45012.418
0,polygon,49,49731.336,44999.37
0,polygon,50,49392.09,44999.37
0,polygon,51,49261.61,44986.32
0,polygon,52,49131.13,44908.035
0,polygon,53,49000.65,44894.984
0,polygon,54,48844.074,44908.035
0,polygon,55,48687.5,44947.176
0,polygon,56,48778.836,44842.793
0,polygon,57,48844.074,44712.312
0,polygon,58,48896.266,44568.785
0,polygon,59,48935.41,44438.31
0,polygon,60,49000.65,44320.875
0,polygon,61,49183.32,44268.684
0,polygon,62,49326.848,44203.445
0,polygon,63,49470.38,44151.25
0,polygon,64,49600.855,44125.156
0,polygon,65,49731.336,44059.918
0,polygon,66,49887.91,43955.53
0,polygon,67,50096.68,43772.86
0,polygon,68,50174.97,43655.43
0,polygon,69,50292.4,43590.19
0,polygon,70,50527.26,43433.613
0,polygon,71,50644.695,43342.277
0,polygon,72,50827.363,43133.51
0,polygon,73,50931.75,43016.08
0,polygon,74,50996.99,42859.504
0,polygon,75,51075.277,42742.07
0,polygon,76,51140.516,42611.594
0,polygon,77,51244.9,42507.207
0,polygon,78,51336.234,42389.777
0,polygon,79,51401.477,42272.344
0,polygon,80,51401.477,42128.816
0,polygon,81,51440.62,41972.242
0,polygon,82,51466.715,41815.668
0,polygon,83,51505.86,41659.09
0,polygon,84,51584.15,41541.66
0,polygon,85,51701.58,41450.324
0,polygon,86,51819.01,41385.082
0,polygon,87,51949.49,41319.844
0,polygon,88,52119.113,41267.652
0,polygon,89,52275.688,41241.555
0,polygon,90,52406.168,41280.7
0,polygon,91,52536.65,41293.746
0,polygon,92,52680.176,41319.844
0,polygon,93,52836.75,41372.035
0,polygon,94,53032.473,41424.227
0,polygon,95,53176.0,41450.324
0,polygon,96,53319.527,41450.324
0,polygon,97,53463.055,41411.18
0,polygon,98,53632.676,41345.94
0,polygon,99,53763.156,41293.746
0,polygon,100,54245.93,41293.746
0,polygon,101,54415.555,41280.7
0,polygon,102,54572.13,41228.508
0,polygon,103,54715.656,41176.316
0,polygon,104,54833.09,41098.027
0,polygon,105,54950.52,40993.645
0,polygon,106,55081.0,40928.406
0,polygon,107,55211.48,40837.07
0,polygon,108,55328.914,40732.688
0,polygon,109,55407.2,40576.11
0,polygon,110,55433.297,40432.582
1,polygon,0,42320.54,124119.68
1,polygon,1,42442.76,124364.13
1,polygon,2,42613.88,124559.695
1,polygon,3,42858.332,124730.81
1,polygon,4,43078.34,124877.484
1,polygon,5,43322.793,124975.266
1,polygon,6,43640.582,125073.05
1,polygon,7,43933.926,125219.72
1,polygon,8,44153.934,125366.39
1,polygon,9,44422.832,125464.17
1,polygon,10,44911.74,125561.95
1,polygon,11,45205.082,125561.95
1,polygon,12,45498.426,125513.06
1,polygon,13,45742.875,125464.17
1,polygon,14,45987.33,125293.055
1,polygon,15,46231.78,125268.61
1,polygon,16,46549.57,125293.055
1,polygon,17,46842.914,125219.72
1,polygon,18,47111.812,125097.49
1,polygon,19,47429.6,124926.375
1,polygon,20,47649.61,124755.26
1,polygon,21,47894.062,124535.25
1,polygon,22,48089.625,124364.13
1,polygon,23,48285.188,124168.57
1,polygon,24,48505.195,123899.67
1,polygon,25,48749.65,123606.33
1,polygon,26,48994.098,123386.32
1,polygon,27,49262.996,123312.984
1,polygon,28,50485.26,123312.984
1,polygon,29,50631.934,123092.98
1,polygon,30,50583.043,122677.41
1,polygon,31,50534.152,122432.95
1,polygon,32,50509.707,122139.61
1,polygon,33,50583.043,121895.16
1,polygon,34,50729.715,121675.15
1,polygon,35,50876.387,121381.81
1,polygon,36,50974.168,121088.47
1,polygon,37,51047.504,120844.016
1,polygon,38,51169.73,120575.12
1,polygon,39,51218.62,120330.664
1,polygon,40,50974.168,120550.67
1,polygon,41,50680.824,120575.12
1,polygon,42,50289.7,120672.9
1,polygon,43,49800.793,120868.46
1,polygon,44,49580.785,120990.69
1,polygon,45,49311.887,121088.47
1,polygon,46,48725.203,121235.14
1,polygon,47,48431.86,121235.14
1,polygon,48,48138.516,121259.586
1,polygon,49,47894.062,121284.03
1,polygon,50,47258.484,121284.03
1,polygon,51,46940.695,121259.586
1,polygon,52,46647.35,121235.14
1,polygon,53,46402.9,121186.25
1,polygon,54,46158.445,121161.805
1,polygon,55,45889.547,121161.805
1,polygon,56,45547.316,121259.586
1,polygon,57,45278.418,121430.7
1,polygon,58,44838.402,121772.93
1,polygon,59,44593.95,121944.05
1,polygon,60,44325.05,122090.72
1,polygon,61,44129.49,122261.836
1,polygon,62,43982.816,122506.29
1,polygon,63,43933.926,122799.63
1,polygon,64,43885.035,123068.53
1,polygon,65,43713.918,123312.984
1,polygon,66,43542.8,123532.99
1,polygon,67,43273.902,123704.11
1,polygon,68,43053.895,123826.336
1,polygon,69,42858.332,123997.45
1,polygon,70,42613.88,124046.34
2,polygon,0,44659.81,125366.58
2,polygon,1,44421.855,125207.94
2,polygon,2,44223.562,125088.96
2,polygon,3,44025.266,125069.13
2,polygon,4,43807.145,125168.28
2,polygon,5,43589.02,125247.6
2,polygon,6,43370.895,125247.6
2,polygon,7,43132.94,125188.11
2,polygon,8,42894.99,125088.96
2,polygon,9,42696.69,125049.305
2,polygon,10,42478.57,124989.81
2,polygon,11,42438.91,124771.695
2,polygon,12,42438.91,124295.78
2,polygon,13,42637.203,124216.47
2,polygon,14,42855.33,124176.805
2,polygon,15,43113.113,124137.15
2,polygon,16,43351.066,124156.98
