index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,54151.625,27425.916
0,polygon,1,53739.445,27105.33
0,polygon,2,53235.664,27059.531
0,polygon,3,52731.887,26967.936
0,polygon,4,52365.5,26601.55
0,polygon,5,52023.59,26213.844
0,polygon,6,51910.67,25084.668
0,polygon,7,51628.38,24463.621
0,polygon,8,51346.086,23955.492
0,polygon,9,51063.793,23334.445
0,polygon,10,50725.04,22713.4
0,polygon,11,50386.285,22205.27
0,polygon,12,49934.617,21640.682
0,polygon,13,49391.35,21220.994
0,polygon,14,48887.574,21037.803
0,polygon,15,47971.613,20854.61
0,polygon,16,47467.832,20625.62
0,polygon,17,47009.85,20442.428
0,polygon,18,46597.668,20167.639
0,polygon,19,46048.09,19847.053
0,polygon,20,45681.707,19526.465
0,polygon,21,45269.523,19297.475
0,polygon,22,44811.543,18976.889
0,polygon,23,44353.562,18793.695
0,polygon,24,43803.984,18702.1
0,polygon,25,42246.85,18702.1
0,polygon,26,41788.867,18885.291
0,polygon,27,41376.688,19160.08
0,polygon,28,40918.707,19297.475
0,polygon,29,40460.723,19480.668
0,polygon,30,39956.945,19526.465
0,polygon,31,39498.965,19709.658
0,polygon,32,38995.184,19984.445
0,polygon,33,38628.8,20396.629
0,polygon,34,38354.01,20808.812
0,polygon,35,38125.02,21220.994
0,polygon,36,37804.434,21724.773
0,polygon,37,37621.242,22182.754
0,polygon,38,37483.848,22686.533
0,polygon,39,37438.05,23236.111
0,polygon,40,37392.25,23694.092
0,polygon,41,37392.25,24289.467
0,polygon,42,37621.242,24747.447
0,polygon,43,37712.84,25205.43
0,polygon,44,37758.637,25709.207
0,polygon,45,37941.83,26167.19
0,polygon,46,38015.164,26454.348
0,polygon,47,38064.055,26772.137
0,polygon,48,38161.836,27309.934
0,polygon,49,38259.617,27578.83
0,polygon,50,38357.4,27896.62
0,polygon,51,38479.62,28238.854
0,polygon,52,38626.293,28678.87
0,polygon,53,38724.074,28923.322
0,polygon,54,38895.19,29143.328
0,polygon,55,39041.863,29363.336
0,polygon,56,39212.98,29607.79
0,polygon,57,39359.652,29852.242
0,polygon,58,39759.168,30004.605
1,polygon,0,53974.992,27265.47
1,polygon,1,54203.98,27677.654
1,polygon,2,54432.973,28135.635
1,polygon,3,54753.56,28547.818
1,polygon,4,55074.145,29005.799
1,polygon,5,55303.137,29601.174
1,polygon,6,55532.125,30013.357
1,polygon,7,55898.51,30425.54
1,polygon,8,56356.492,30700.328
1,polygon,9,56768.676,31020.914
1,polygon,10,56814.473,31577.996
1,polygon,11,56532.18,32086.127
1,polygon,12,56136.97,32594.256
1,polygon,13,55515.92,32933.008
1,polygon,14,54951.336,33328.22
1,polygon,15,53822.16,33441.137
1,polygon,16,53201.113,33723.43
1,polygon,17,52692.984,34062.184
1,polygon,18,52071.938,34400.938
1,polygon,19,51465.902,34584.13
1,polygon,20,51057.285,34810.74
1,polygon,21,50725.797,34931.28
1,polygon,22,50424.44,35021.688
1,polygon,23,49701.188,35021.688
1,polygon,24,48706.715,35383.316
1,polygon,25,48104.004,35503.855
1,polygon,26,47802.65,35413.45
1,polygon,27,47501.293,35353.18
1,polygon,28,47139.664,35202.5
1,polygon,29,46808.17,35081.96
1,polygon,30,46506.816,35021.688
1,polygon,31,46175.33,34931.28
1,polygon,32,45873.973,34810.74
1,polygon,33,45572.617,34720.332
1,polygon,34,45271.26,34539.52
1,polygon,35,44909.633,34509.383
1,polygon,36,44608.277,34328.57
1,polygon,37,44276.785,34177.895
1,polygon,38,43945.297,33966.945
1,polygon,39,43463.13,33665.59
1,polygon,40,43191.906,33454.64
1,polygon,41,42950.824,33243.69
1,polygon,42,42619.332,33243.69
1,polygon,43,42016.62,32701.25
1,polygon,44,42046.758,33002.605
1,polygon,45,41654.992,32912.2
1,polygon,46,41413.91,32671.115
1,polygon,47,41112.555,32430.031
1,polygon,48,40841.332,32158.81
1,polygon,49,40690.656,31887.592
1,polygon,50,40539.977,31556.1
1,polygon,51,40359.164,31254.744
1,polygon,52,40208.49,30983.523
1,polygon,53,40027.676,30682.168
1,polygon,54,39485.234,29868.508
1,polygon,55,39364.69,29567.152
1,polygon,56,39876.996,29356.205
1,polygon,57,40600.25,29235.662
2,polygon,0,39732.805,113155.37
2,polygon,1,38886.6,111886.06
2,polygon,2,38251.95,110510.984
2,polygon,3,37511.523,109347.46
2,polygon,4,36876.87,108183.93
2,polygon,5,36347.996,106914.63
2,polygon,6,35924.895,105645.33
2,polygon,7,35819.12,104481.805
2,polygon,8,36242.223,103318.27
2,polygon,9,36982.65,102472.07
2,polygon,10,37828.848,101625.87
2,polygon,11,38992.375,100673.89
2,polygon,12,39944.35,100039.24
2,polygon,13,41213.656,100039.24
2,polygon,14,42377.184,100673.89
2,polygon,15,43329.16,101308.55
2,polygon,16,44175.363,102154.75
2,polygon,17,45233.113,102895.17
2,polygon,18,46396.64,103212.5
2,polygon,19,47771.72,103847.15
2,polygon,20,48935.246,104587.58
2,polygon,21,50098.773,105116.45
2,polygon,22,51368.074,105539.555
2,polygon,23,52425.83,105645.33
2,polygon,24,53906.68,105645.33
2,polygon,25,55070.207,105751.1
2,polygon,26,56022.184,106385.76
2,polygon,27,56974.164,107126.18
2,polygon,28,57185.71,108183.93
2,polygon,29,56656.836,109347.46
2,polygon,30,56233.734,110405.21
2,polygon,31,56022.184,111462.97
2,polygon,32,55599.086,112520.72
2,polygon,33,54752.883,113261.14
2,polygon,34,53695.13,113684.24
2,polygon,35,52637.38,114001.57
2,polygon,36,51579.625,114213.12
2,polygon,37,49252.57,114213.12
2,polygon,38,48089.043,114001.57
2,polygon,39,46925.516,114107.34
2,polygon,40,45867.766,114424.67
2,polygon,41,44598.46,114636.22
